	TCGA-91-6828-01A	TCGA-86-6562-01A	TCGA-55-8094-01A	TCGA-67-3771-01A	TCGA-49-AARN-01A
ENSG00000211862.1	0	0	0	0	0
ENSG00000211863.1	0	0	0	0	0
ENSG00000211864.2	0	0	0	0	0
ENSG00000211865.1	0	0	0	0	0
ENSG00000211866.1	0	0	0	0	0
ENSG00000211867.1	0	0	0	0	0
ENSG00000211868.1	0	0	0	0	0
ENSG00000211869.1	1	0	0	0	0
ENSG00000211870.1	0	0	0	0	0
ENSG00000211871.1	2	0	0	0	0
ENSG00000211872.1	0	0	0	0	0
ENSG00000211873.1	1	0	0	0	0
ENSG00000211875.1	1	0	0	0	0
ENSG00000211876.1	1	0	0	0	0
ENSG00000211877.1	0	0	0	2	0
ENSG00000211878.1	0	0	0	0	0
ENSG00000211879.1	1	0	0	0	1
ENSG00000211880.1	1	0	0	0	0
ENSG00000211881.1	0	0	0	1	0
ENSG00000211882.1	0	0	0	0	0
ENSG00000211883.1	1	0	0	0	0
ENSG00000211884.1	3	0	0	0	0
ENSG00000211885.1	0	0	0	0	0
ENSG00000211886.1	1	1	1	0	1
ENSG00000211887.2	0	0	0	0	1
ENSG00000211888.2	1	0	0	0	1
ENSG00000211890.4	23108	12494	1078	15610	9535
ENSG00000211891.6	42	31	0	161	9
ENSG00000211892.4	13778	2286	1517	30878	19344
ENSG00000211893.4	100354	26898	3065	73380	14713
ENSG00000211895.5	99903	201662	5506	173578	115908
ENSG00000211896.7	175619	44785	9639	632586	306476
ENSG00000211897.9	18403	40240	1284	62222	33927
ENSG00000211898.7	1065	34	111	5847	1727
ENSG00000211899.10	16842	15444	1464	135952	44018
ENSG00000211900.2	237	134	0	47	202
ENSG00000211904.2	22	32	3	92	16
ENSG00000211905.1	8	13	1	18	8
ENSG00000211907.1	0	0	0	0	0
ENSG00000211909.1	0	0	0	0	0
ENSG00000211911.1	0	1	1	3	1
ENSG00000211912.1	0	0	0	1	0
ENSG00000211914.1	0	0	0	1	0
ENSG00000211915.1	0	0	0	0	0
ENSG00000211917.1	1	1	0	1	1
ENSG00000211918.1	0	0	0	0	0
ENSG00000211920.1	0	0	0	1	0
ENSG00000211921.1	1	0	0	0	0
ENSG00000211923.1	1	0	0	2	0
ENSG00000211924.1	1	0	0	3	0
ENSG00000211925.1	0	0	0	1	0
ENSG00000211928.1	0	0	0	0	0
ENSG00000211930.1	0	3	0	4	2
ENSG00000211931.1	0	0	0	1	3
ENSG00000211933.2	713	512	11	2102	193
ENSG00000211934.3	480	1033	48	11920	1398
ENSG00000211935.3	1299	744	68	3050	1992
ENSG00000211937.3	1222	1266	151	2367	2400
ENSG00000211938.2	3652	1668	214	9751	1220
ENSG00000211941.3	1478	1364	74	4325	648
ENSG00000211942.3	80	106	16	276	67
ENSG00000211943.2	615	1480	136	2431	603
ENSG00000211944.2	3	1	0	4	4
ENSG00000211945.2	1423	1604	169	6997	1554
ENSG00000211946.3	134	84	27	80	405
ENSG00000211947.2	7118	1068	204	8973	2292
ENSG00000211949.3	21757	2353	327	6566	2671
ENSG00000211950.2	857	262	115	2633	522
ENSG00000211951.2	101	594	25	542	175
ENSG00000211952.3	225	164	15	756	423
ENSG00000211955.2	478	419	18	4882	935
ENSG00000211956.2	944	2317	51	3692	2151
ENSG00000211957.2	7	26	1	36	24
ENSG00000211958.2	10	19	2	34	7
ENSG00000211959.2	2856	2459	104	22560	1494
ENSG00000211961.3	124	249	2	112	97
ENSG00000211962.2	1228	2067	59	3362	756
ENSG00000211964.3	770	902	113	2844	1633
ENSG00000211965.4	760	1448	36	2396	493
ENSG00000211966.2	2025	2088	177	17081	2479
ENSG00000211967.3	324	209	11	1352	262
ENSG00000211968.3	99	76	7	1461	17
ENSG00000211970.3	214	58	4	741	139
ENSG00000211972.2	174	231	15	327	197
ENSG00000211973.2	306	162	24	168	403
ENSG00000211974.3	46	145	6	36	135
ENSG00000211976.2	829	282	37	1033	333
ENSG00000211978.2	19	19	1	106	12
ENSG00000211979.2	26	34	14	23	20
ENSG00000211991.4	0	0	0	0	0
ENSG00000211997.1	0	0	0	1	0
ENSG00000212013.1	0	0	0	0	0
ENSG00000212014.1	0	0	0	0	0
ENSG00000212017.2	0	0	0	0	0
ENSG00000212024.2	0	0	0	0	0
ENSG00000212027.3	0	0	0	0	0
ENSG00000212036.3	0	0	0	0	0
ENSG00000212040.3	0	0	0	0	0
ENSG00000212051.1	0	0	0	0	0
ENSG00000212100.2	0	0	0	0	0
ENSG00000212102.1	0	0	0	0	0
ENSG00000212122.4	0	0	0	0	0
ENSG00000212123.4	19	7	124	43	65
ENSG00000212124.2	3	4	12	3	1
ENSG00000212125.2	2	4	22	3	2
ENSG00000212126.3	0	0	0	0	0
ENSG00000212127.6	11	30	85	18	31
ENSG00000212128.2	0	0	1	1	0
ENSG00000212133.1	0	0	0	0	0
ENSG00000212134.1	0	0	0	0	0
ENSG00000212135.1	0	0	1	1	0
ENSG00000212136.1	0	1	0	0	1
ENSG00000212138.1	1	0	0	0	0
ENSG00000212140.1	0	0	0	0	0
ENSG00000212144.1	0	0	0	0	0
ENSG00000212145.2	0	0	1	0	0
ENSG00000212146.1	0	0	0	0	0
ENSG00000212147.1	0	0	0	0	0
ENSG00000212149.1	0	0	0	0	0
ENSG00000212153.1	0	0	0	0	0
ENSG00000212154.1	0	0	0	0	0
ENSG00000212156.1	0	0	0	0	0
ENSG00000212157.1	0	0	0	0	0
ENSG00000212158.1	1	0	0	0	0
ENSG00000212160.1	0	0	0	0	0
ENSG00000212161.1	0	0	0	0	0
ENSG00000212163.6	0	4	2	4	0
ENSG00000212165.2	0	0	0	0	0
ENSG00000212167.1	0	0	0	0	0
ENSG00000212168.1	0	0	0	0	0
ENSG00000212170.1	1	0	0	0	0
ENSG00000212171.1	0	0	0	0	0
ENSG00000212172.1	0	0	0	0	0
ENSG00000212175.1	7	2	1	4	2
ENSG00000212176.1	1	0	0	0	0
ENSG00000212181.1	0	0	0	0	0
ENSG00000212182.2	0	0	0	1	0
ENSG00000212184.1	0	0	0	0	0
ENSG00000212186.1	0	0	0	0	0
ENSG00000212187.1	1	1	2	0	0
ENSG00000212189.1	0	0	0	0	0
ENSG00000212190.1	0	2	0	0	0
ENSG00000212191.1	0	0	0	0	0
ENSG00000212195.2	0	0	1	0	0
ENSG00000212199.1	0	0	0	0	0
ENSG00000212204.1	0	0	0	0	0
ENSG00000212205.1	0	0	1	0	0
ENSG00000212206.1	0	1	1	2	3
ENSG00000212207.1	1	0	0	0	0
ENSG00000212211.2	0	0	0	0	0
ENSG00000212214.1	0	0	0	0	0
ENSG00000212215.1	0	0	0	0	0
ENSG00000212216.1	0	0	0	0	0
ENSG00000212219.1	0	0	0	0	0
ENSG00000212221.1	0	0	0	0	0
ENSG00000212224.1	0	0	0	0	0
ENSG00000212226.1	0	0	0	0	0
ENSG00000212228.1	0	0	0	0	0
ENSG00000212229.1	0	0	0	0	0
ENSG00000212230.1	0	0	0	0	0
ENSG00000212232.1	6	6	24	19	3
ENSG00000212237.1	0	0	11	7	2
ENSG00000212238.1	0	0	0	0	0
ENSG00000212240.1	4	1	1	5	0
ENSG00000212241.1	0	0	0	0	0
ENSG00000212242.1	1	9	5	1	6
ENSG00000212246.1	0	0	0	0	0
ENSG00000212247.1	0	0	0	0	0
ENSG00000212248.1	0	0	0	0	0
ENSG00000212249.2	0	0	0	0	0
ENSG00000212251.1	0	0	0	0	0
ENSG00000212257.1	0	0	1	0	0
ENSG00000212258.1	0	0	0	0	0
ENSG00000212259.1	0	0	0	0	0
ENSG00000212260.1	1	0	0	0	1
ENSG00000212264.1	0	0	0	0	0
ENSG00000212265.1	0	0	0	0	0
ENSG00000212266.1	0	0	0	0	0
ENSG00000212269.1	0	0	0	0	0
ENSG00000212270.1	0	0	0	0	0
ENSG00000212273.1	0	0	0	0	0
ENSG00000212276.1	0	0	0	0	0
ENSG00000212278.1	0	0	0	0	0
ENSG00000212279.2	0	0	0	0	0
ENSG00000212280.1	0	0	1	0	0
ENSG00000212282.1	0	0	0	0	0
ENSG00000212283.1	5	11	6	13	4
ENSG00000212289.1	0	0	0	0	0
ENSG00000212292.1	0	0	0	0	0
ENSG00000212293.1	0	0	0	0	0
ENSG00000212295.1	0	0	0	0	0
ENSG00000212296.1	4	2	7	3	2
ENSG00000212297.1	0	0	0	0	0
ENSG00000212298.1	0	0	0	0	0
ENSG00000212302.1	0	0	0	0	0
ENSG00000212303.1	2	0	0	0	0
ENSG00000212304.1	0	0	0	0	0
ENSG00000212305.1	0	0	0	0	0
ENSG00000212306.1	0	0	0	0	0
ENSG00000212308.1	0	0	0	0	0
ENSG00000212309.1	0	0	0	0	0
ENSG00000212312.1	0	0	0	0	0
ENSG00000212314.2	0	0	0	0	0
ENSG00000212316.1	0	0	0	0	0
ENSG00000212319.1	0	0	0	0	0
ENSG00000212321.2	0	0	0	0	0
ENSG00000212324.1	0	0	1	0	0
ENSG00000212325.1	0	0	1	0	0
ENSG00000212327.1	1	1	1	3	3
ENSG00000212329.1	0	0	0	0	0
ENSG00000212330.1	0	0	0	0	0
ENSG00000212331.1	0	0	1	0	0
ENSG00000212332.1	2	0	1	0	1
ENSG00000212333.1	0	0	0	0	0
ENSG00000212335.1	0	0	0	0	0
ENSG00000212336.1	0	0	2	0	0
ENSG00000212338.1	0	0	0	0	0
ENSG00000212340.1	0	0	0	0	0
ENSG00000212342.1	0	0	0	0	0
ENSG00000212344.1	0	0	0	0	0
ENSG00000212345.1	0	0	0	0	0
ENSG00000212347.2	0	0	0	0	0
ENSG00000212348.1	0	1	0	0	0
ENSG00000212354.1	0	0	0	0	0
ENSG00000212358.1	0	0	0	0	0
ENSG00000212359.1	0	0	0	0	0
ENSG00000212360.1	0	0	0	0	0
ENSG00000212363.1	0	0	0	0	0
ENSG00000212365.1	0	0	0	0	0
ENSG00000212366.1	0	0	0	0	0
ENSG00000212368.1	0	0	0	0	0
ENSG00000212370.1	0	0	0	0	0
ENSG00000212371.1	5	5	7	13	4
ENSG00000212373.1	0	0	0	0	0
ENSG00000212374.1	0	0	0	0	0
ENSG00000212377.1	0	0	0	0	0
ENSG00000212378.1	0	0	0	0	0
ENSG00000212379.1	0	0	0	0	0
ENSG00000212380.1	0	0	0	0	0
ENSG00000212382.1	0	0	0	0	0
ENSG00000212383.1	0	0	0	0	0
ENSG00000212384.1	0	0	0	0	0
ENSG00000212385.1	0	0	0	0	0
ENSG00000212387.1	0	0	1	1	0
ENSG00000212388.1	0	0	1	0	0
ENSG00000212389.1	0	0	0	0	0
ENSG00000212391.1	0	4	5	2	0
ENSG00000212392.1	0	0	0	0	0
ENSG00000212395.1	0	0	0	0	0
ENSG00000212396.1	1	0	2	2	1
ENSG00000212397.1	0	0	0	0	0
ENSG00000212398.1	0	0	0	0	0
ENSG00000212402.1	1	0	0	2	0
ENSG00000212404.1	0	0	0	0	0
ENSG00000212407.1	0	0	0	0	0
ENSG00000212409.1	0	0	0	0	0
ENSG00000212410.1	0	0	0	0	0
ENSG00000212411.1	0	0	0	0	0
ENSG00000212413.1	1	0	0	0	2
ENSG00000212414.1	0	0	0	0	0
ENSG00000212415.1	0	0	0	0	0
ENSG00000212418.1	0	0	0	0	0
ENSG00000212420.1	0	0	0	1	0
ENSG00000212421.1	0	0	0	0	0
ENSG00000212422.2	0	0	0	0	0
ENSG00000212424.1	0	0	0	0	0
ENSG00000212425.1	0	0	0	0	0
ENSG00000212428.1	0	0	0	0	0
ENSG00000212429.1	0	0	2	0	0
ENSG00000212432.1	1	0	0	0	0
ENSG00000212433.1	0	0	0	0	0
ENSG00000212434.2	1	0	0	0	0
ENSG00000212440.1	0	0	0	0	0
ENSG00000212441.1	0	0	0	0	0
ENSG00000212442.1	0	0	0	0	0
ENSG00000212443.1	0	3	2	2	4
ENSG00000212445.1	0	0	3	0	0
ENSG00000212446.1	0	0	0	0	0
ENSG00000212447.1	0	0	0	0	0
ENSG00000212448.1	0	0	0	0	0
ENSG00000212450.1	0	0	0	0	0
ENSG00000212451.1	0	0	0	0	0
ENSG00000212452.1	8	2	10	1	8
ENSG00000212454.1	0	0	0	0	0
ENSG00000212455.1	0	0	0	0	0
ENSG00000212457.1	0	0	0	0	0
ENSG00000212458.1	0	0	0	0	0
ENSG00000212459.1	1	0	2	0	0
ENSG00000212460.1	0	1	0	0	0
ENSG00000212461.1	0	0	1	0	0
ENSG00000212464.1	1	1	0	2	2
ENSG00000212466.1	0	0	0	0	0
ENSG00000212468.1	0	0	0	0	0
ENSG00000212469.1	0	0	0	0	0
ENSG00000212473.1	0	0	0	0	0
ENSG00000212475.1	0	0	0	0	0
ENSG00000212479.2	0	0	0	0	1
ENSG00000212482.1	0	0	0	0	0
ENSG00000212485.1	0	0	0	0	0
ENSG00000212489.1	0	0	0	0	0
ENSG00000212490.1	0	0	0	0	0
ENSG00000212493.1	6	1	2	5	2
ENSG00000212495.1	0	0	0	0	0
ENSG00000212496.1	0	1	0	0	0
ENSG00000212497.1	1	0	0	0	2
ENSG00000212498.1	0	0	0	0	0
ENSG00000212499.1	0	0	0	0	0
ENSG00000212505.1	0	0	0	0	0
ENSG00000212510.1	0	0	0	0	0
ENSG00000212511.2	0	0	0	0	0
ENSG00000212512.2	0	0	0	0	0
ENSG00000212516.1	0	0	0	0	0
ENSG00000212517.1	0	1	0	0	0
ENSG00000212518.1	0	0	0	0	0
ENSG00000212520.1	0	0	2	0	0
ENSG00000212521.1	0	0	0	0	0
ENSG00000212525.1	0	0	0	0	0
ENSG00000212526.1	2	0	0	1	0
ENSG00000212527.1	0	0	0	0	0
ENSG00000212528.1	0	0	0	0	0
ENSG00000212529.1	0	0	0	0	0
ENSG00000212532.1	0	0	0	0	0
ENSG00000212533.1	2	1	2	0	0
ENSG00000212534.1	1	0	0	0	0
ENSG00000212535.1	0	0	1	0	0
ENSG00000212536.1	0	0	0	2	1
ENSG00000212538.2	0	0	0	0	0
ENSG00000212539.2	0	0	0	0	0
ENSG00000212541.1	6	5	3	1	5
ENSG00000212542.1	0	1	0	1	0
ENSG00000212545.1	0	0	0	0	0
ENSG00000212546.1	0	0	0	0	0
ENSG00000212549.1	1	0	0	0	0
ENSG00000212550.1	0	0	0	0	0
ENSG00000212551.2	0	0	0	0	0
ENSG00000212553.1	0	0	0	0	0
ENSG00000212555.1	0	0	0	0	0
ENSG00000212556.1	0	0	0	0	0
ENSG00000212558.1	0	0	0	0	0
ENSG00000212559.1	0	0	0	0	0
ENSG00000212560.1	0	0	0	0	0
ENSG00000212561.1	0	0	0	0	0
ENSG00000212564.1	0	0	0	0	0
ENSG00000212565.1	0	0	0	0	0
ENSG00000212567.1	2	0	1	0	1
ENSG00000212568.1	0	0	0	0	0
ENSG00000212569.1	0	0	0	1	0
ENSG00000212571.1	0	0	0	0	0
ENSG00000212572.1	0	1	3	1	1
ENSG00000212576.1	1	1	0	0	0
ENSG00000212579.1	0	0	0	0	0
ENSG00000212580.1	0	0	0	0	0
ENSG00000212581.1	0	0	0	0	0
ENSG00000212584.1	0	0	0	0	0
ENSG00000212586.1	0	0	0	0	0
ENSG00000212587.1	0	1	0	0	0
ENSG00000212588.1	0	0	0	0	0
ENSG00000212589.1	0	0	0	0	0
ENSG00000212590.1	0	0	0	0	0
ENSG00000212593.1	0	0	0	1	0
ENSG00000212594.1	0	0	0	0	0
ENSG00000212595.1	0	0	0	0	0
ENSG00000212597.1	0	1	0	0	0
ENSG00000212598.2	0	0	0	0	0
ENSG00000212599.1	0	0	0	0	0
ENSG00000212601.1	0	0	1	1	0
ENSG00000212604.1	0	0	0	0	0
ENSG00000212605.1	0	0	0	2	0
ENSG00000212607.1	1	4	12	5	8
ENSG00000212608.1	0	0	0	0	0
ENSG00000212609.1	0	0	0	0	0
ENSG00000212610.2	0	0	0	0	0
ENSG00000212611.1	0	0	0	0	0
ENSG00000212612.1	0	0	0	0	0
ENSG00000212615.1	0	0	0	1	0
ENSG00000212618.1	0	0	0	0	0
ENSG00000212620.1	0	0	0	0	0
ENSG00000212623.1	0	0	0	0	0
ENSG00000212624.1	0	0	1	0	0
ENSG00000212625.1	0	0	0	0	0
ENSG00000212626.1	0	0	0	0	0
ENSG00000212628.1	0	0	0	0	0
ENSG00000212643.3	0	0	0	0	0
ENSG00000212657.1	0	0	0	0	1
ENSG00000212658.1	0	0	0	0	0
ENSG00000212659.1	0	1	0	0	0
ENSG00000212663.2	0	0	5	0	0
ENSG00000212664.5	4	6	15	18	4
ENSG00000212694.8	123	50	342	373	272
ENSG00000212695.5	0	0	0	3	2
ENSG00000212710.5	1	0	0	1	0
ENSG00000212712.2	0	0	0	1	0
ENSG00000212717.3	0	0	0	0	0
ENSG00000212719.13	111	353	170	604	226
ENSG00000212721.4	0	0	0	0	0
ENSG00000212722.7	0	0	0	0	0
ENSG00000212724.3	1	1	0	1	0
ENSG00000212725.3	0	0	0	0	0
ENSG00000212743.2	7	12	21	9	28
ENSG00000212747.5	280	413	1175	369	425
ENSG00000212766.9	2	7	4	4	7
ENSG00000212769.5	0	1	1	2	0
ENSG00000212789.4	5	12	12	13	5
ENSG00000212802.4	75	57	94	97	60
ENSG00000212807.2	0	5	3	4	3
ENSG00000212829.8	5	1	10	4	0
ENSG00000212855.5	0	0	0	0	0
ENSG00000212856.6	2	0	0	0	1
ENSG00000212864.3	110	349	202	185	315
ENSG00000212899.3	0	0	0	0	0
ENSG00000212900.3	0	0	2	0	0
ENSG00000212901.4	3	0	2	25	2
ENSG00000212907.2	7325	9439	59142	6385	14541
ENSG00000212916.4	51	250	298	214	133
ENSG00000212930.3	0	1	0	0	0
ENSG00000212932.3	0	0	0	1	0
ENSG00000212933.1	0	0	0	0	0
ENSG00000212935.2	0	0	0	0	0
ENSG00000212938.3	0	0	0	0	0
ENSG00000212939.2	0	0	2	11	2
ENSG00000212951.5	0	0	0	0	0
ENSG00000212952.6	0	0	0	0	0
ENSG00000212961.4	0	0	0	4	4
ENSG00000212978.6	82	607	7	656	373
ENSG00000212989.3	0	0	0	0	0
ENSG00000212993.5	18	7	11	13	26
ENSG00000212994.5	1	0	5	7	1
ENSG00000213003.3	1	0	1	1	3
ENSG00000213005.3	0	0	1	0	0
ENSG00000213013.4	2	3	3	0	0
ENSG00000213014.3	0	0	1	1	1
ENSG00000213015.9	170	392	417	584	548
ENSG00000213016.3	0	0	0	0	0
ENSG00000213018.2	8	3	11	5	5
ENSG00000213020.10	315	412	238	446	214
ENSG00000213022.6	0	0	0	0	0
ENSG00000213023.11	4	6	0	36	90
ENSG00000213024.12	1399	2684	2145	2254	1924
ENSG00000213025.2	29	4	2	2	35
ENSG00000213026.4	0	1	2	1	0
ENSG00000213028.3	3	2	0	2	1
ENSG00000213030.5	0	0	0	0	1
ENSG00000213032.3	0	0	0	0	0
ENSG00000213033.4	0	0	5	2	0
ENSG00000213035.4	0	1	0	1	0
ENSG00000213036.3	5	4	8	8	1
ENSG00000213041.4	1	0	2	3	1
ENSG00000213045.3	2	21	3	0	4
ENSG00000213046.4	0	1	0	2	0
ENSG00000213047.13	858	2626	846	1247	759
ENSG00000213048.3	0	0	0	0	0
ENSG00000213049.3	0	0	0	0	1
ENSG00000213050.5	1	0	1	2	0
ENSG00000213051.3	1	0	6	4	1
ENSG00000213055.3	0	0	2	3	1
ENSG00000213057.5	3	9	17	21	20
ENSG00000213058.3	1	101	155	5	0
ENSG00000213060.4	0	1	8	2	0
ENSG00000213061.2	0	1	4	1	3
ENSG00000213062.5	82	115	405	224	67
ENSG00000213063.3	0	2	0	2	0
ENSG00000213064.10	2608	10825	2413	2160	3435
ENSG00000213065.2	0	4	0	2	1
ENSG00000213066.13	258	237	385	276	260
ENSG00000213067.2	0	1	0	1	0
ENSG00000213068.3	0	0	0	1	0
ENSG00000213069.3	1	0	0	4	0
ENSG00000213070.3	2	0	10	11	0
ENSG00000213071.11	61	51	20	7	46
ENSG00000213073.5	0	0	0	0	0
ENSG00000213075.7	3	3	2	7	0
ENSG00000213076.3	0	1	0	0	0
ENSG00000213078.3	0	0	0	1	0
ENSG00000213079.10	1473	1178	818	1143	821
ENSG00000213080.3	10	27	14	22	22
ENSG00000213081.3	0	0	0	0	0
ENSG00000213082.3	3	11	9	80	6
ENSG00000213083.3	0	0	1	0	0
ENSG00000213085.10	22	422	116	229	156
ENSG00000213087.3	6	7	12	5	2
ENSG00000213088.12	166	560	72	169	534
ENSG00000213089.4	6	8	3	28	12
ENSG00000213090.2	1	3	4	5	2
ENSG00000213091.2	0	0	4	0	0
ENSG00000213096.11	986	902	1429	1531	690
ENSG00000213100.2	0	2	1	2	0
ENSG00000213104.3	3	1	4	3	4
ENSG00000213107.2	0	0	0	0	0
ENSG00000213108.3	2	1	3	4	1
ENSG00000213109.4	0	0	1	3	0
ENSG00000213110.2	0	0	0	1	0
ENSG00000213111.5	0	0	0	0	0
ENSG00000213113.3	0	0	0	0	1
ENSG00000213115.2	0	0	0	0	0
ENSG00000213117.4	1	2	1	1	0
ENSG00000213118.4	0	0	0	0	0
ENSG00000213120.3	0	0	0	0	0
ENSG00000213121.2	0	0	1	0	0
ENSG00000213122.4	0	0	0	0	0
ENSG00000213123.11	3	23	68	40	54
ENSG00000213126.2	0	0	0	0	0
ENSG00000213128.3	0	1	1	0	0
ENSG00000213130.3	0	0	1	1	0
ENSG00000213131.3	82	39	37	81	14
ENSG00000213133.4	2	0	0	1	0
ENSG00000213137.3	0	0	1	2	0
ENSG00000213139.8	13	18	42	57	117
ENSG00000213140.3	1	0	1	0	0
ENSG00000213144.2	11	7	14	6	2
ENSG00000213145.10	16	95	20	69	163
ENSG00000213147.3	0	0	0	0	0
ENSG00000213148.3	0	0	0	0	1
ENSG00000213149.3	6	5	5	3	2
ENSG00000213150.2	0	0	0	0	2
ENSG00000213152.5	5	2	3	5	2
ENSG00000213153.3	2	6	0	1	0
ENSG00000213155.4	0	0	0	0	0
ENSG00000213157.3	1	0	0	0	0
ENSG00000213158.6	0	0	0	0	0
ENSG00000213159.4	0	0	0	0	0
ENSG00000213160.10	887	1245	957	554	1001
ENSG00000213167.3	0	0	0	0	0
ENSG00000213169.3	7	3	18	7	3
ENSG00000213170.3	0	0	0	0	0
ENSG00000213171.3	5	9	137	112	50
ENSG00000213172.3	0	0	0	0	0
ENSG00000213174.3	2	0	0	2	0
ENSG00000213176.4	1	0	0	1	1
ENSG00000213177.3	0	1	11	0	0
ENSG00000213178.3	12	21	31	43	15
ENSG00000213179.4	0	0	1	0	0
ENSG00000213180.4	0	0	0	0	0
ENSG00000213181.3	0	0	0	0	0
ENSG00000213182.4	0	0	0	0	0
ENSG00000213183.3	0	1	2	1	0
ENSG00000213184.3	0	1	1	2	0
ENSG00000213185.7	33	15	64	85	90
ENSG00000213186.8	107	266	393	720	234
ENSG00000213187.3	0	0	0	0	0
ENSG00000213188.3	0	1	2	1	1
ENSG00000213189.5	30	32	80	132	14
ENSG00000213190.4	26	90	318	2307	69
ENSG00000213194.3	0	0	0	0	0
ENSG00000213197.3	0	4	4	2	0
ENSG00000213199.8	17	10	59	51	227
ENSG00000213201.3	0	0	1	1	0
ENSG00000213203.3	222	174	66	145	125
ENSG00000213204.8	8	4	0	5	8
ENSG00000213205.3	0	0	0	0	0
ENSG00000213209.2	0	0	1	0	0
ENSG00000213210.4	0	0	0	0	0
ENSG00000213211.2	0	0	3	3	0
ENSG00000213212.3	12	3	33	10	5
ENSG00000213213.14	18	15	220	26	30
ENSG00000213214.5	54	678	79	194	204
ENSG00000213215.5	0	0	0	0	1
ENSG00000213216.2	0	0	1	1	0
ENSG00000213218.11	0	0	0	2	0
ENSG00000213221.5	2	5	10	7	9
ENSG00000213222.3	32	34	11	39	26
ENSG00000213225.7	4	2	32	758	1
ENSG00000213226.4	0	0	3	1	0
ENSG00000213228.5	4	3	10	11	1
ENSG00000213231.13	1	0	1	7	0
ENSG00000213232.2	1	0	23	0	0
ENSG00000213233.5	0	0	0	0	0
ENSG00000213234.4	0	1	1	0	1
ENSG00000213235.3	12	12	16	23	7
ENSG00000213236.3	23	12	13	17	4
ENSG00000213237.4	6	2	0	10	0
ENSG00000213238.6	0	0	0	0	0
ENSG00000213239.3	0	0	3	1	3
ENSG00000213244.3	0	0	0	1	0
ENSG00000213246.7	0	0	0	1	1
ENSG00000213247.3	0	0	0	0	0
ENSG00000213250.5	19	30	3	20	4
ENSG00000213252.3	2	0	0	0	0
ENSG00000213253.5	4	5	4	3	5
ENSG00000213260.3	119	63	40	102	16
ENSG00000213261.3	12	13	11	25	22
ENSG00000213262.3	1	0	0	2	1
ENSG00000213264.3	1	0	1	0	0
ENSG00000213265.9	0	0	0	0	0
ENSG00000213269.2	1	0	1	6	0
ENSG00000213270.5	0	1	0	3	1
ENSG00000213272.5	0	0	3	0	4
ENSG00000213275.2	0	2	2	3	0
ENSG00000213277.3	5	3	2	1	7
ENSG00000213279.2	6	3	4	18	1
ENSG00000213280.2	10	6	16	24	2
ENSG00000213281.5	2158	8763	3172	3717	1857
ENSG00000213285.4	0	0	0	0	0
ENSG00000213287.3	0	0	0	0	0
ENSG00000213290.4	2	5	9	18	5
ENSG00000213291.3	0	0	0	2	0
ENSG00000213293.4	0	7	10	3	8
ENSG00000213295.3	1	2	1	1	1
ENSG00000213296.4	1	0	0	0	1
ENSG00000213297.8	0	0	0	0	0
ENSG00000213300.5	25	16	28	53	6
ENSG00000213301.2	0	0	0	1	0
ENSG00000213302.3	0	0	6	0	0
ENSG00000213303.3	9	5	4	9	1
ENSG00000213304.3	4	4	9	3	4
ENSG00000213305.3	1	3	1	2	1
ENSG00000213307.4	0	0	3	2	0
ENSG00000213309.3	1	1	4	8	0
ENSG00000213310.3	0	1	0	0	0
ENSG00000213312.3	4	3	3	2	9
ENSG00000213315.5	9	9	11	27	5
ENSG00000213316.10	51	49	7	24	142
ENSG00000213318.4	0	0	0	0	0
ENSG00000213326.4	16	13	63	36	8
ENSG00000213328.3	1	0	0	0	0
ENSG00000213331.4	0	0	1	4	0
ENSG00000213332.4	0	0	0	0	1
ENSG00000213333.3	0	0	0	0	0
ENSG00000213335.4	1	0	0	0	0
ENSG00000213337.9	60	160	146	155	199
ENSG00000213338.3	0	0	1	0	0
ENSG00000213339.9	424	634	1295	651	1586
ENSG00000213341.11	934	1452	990	1572	836
ENSG00000213343.5	0	1	0	5	0
ENSG00000213344.2	0	3	0	0	0
ENSG00000213347.10	124	137	232	137	305
ENSG00000213352.3	2	1	6	6	1
ENSG00000213355.3	0	1	0	0	0
ENSG00000213358.3	0	1	0	2	0
ENSG00000213361.2	0	0	1	2	0
ENSG00000213362.3	14	13	11	29	1
ENSG00000213363.4	1	3	6	6	3
ENSG00000213365.3	0	0	0	0	0
ENSG00000213366.13	110	24	37	324	203
ENSG00000213368.3	0	2	2	1	1
ENSG00000213370.3	1	0	4	3	0
ENSG00000213371.4	5	8	11	6	4
ENSG00000213373.7	3	3	0	1	7
ENSG00000213376.4	0	1	3	1	1
ENSG00000213380.16	162	253	426	122	224
ENSG00000213383.2	2	0	1	1	0
ENSG00000213384.2	1	0	0	0	0
ENSG00000213385.3	4	2	28	5	4
ENSG00000213386.3	0	0	4	2	0
ENSG00000213390.11	317	445	425	626	375
ENSG00000213393.5	0	0	0	1	0
ENSG00000213394.3	0	1	0	5	1
ENSG00000213397.10	18	8	12	11	22
ENSG00000213398.8	163	104	263	164	348
ENSG00000213399.3	4	10	3	10	4
ENSG00000213400.3	0	0	0	0	0
ENSG00000213401.10	0	3	2510	201	0
ENSG00000213402.3	0	0	0	0	0
ENSG00000213403.2	0	0	0	1	0
ENSG00000213406.3	6	6	2	9	8
ENSG00000213409.4	0	4	3	3	1
ENSG00000213411.2	2	5	5	2	15
ENSG00000213412.3	1	0	0	0	0
